:START_ID(Industry),:END_ID(Company),:TYPE
3,300136.SZ,in_industry
3,300150.SZ,in_industry
3,300166.SZ,in_industry
3,300167.SZ,in_industry
3,300168.SZ,in_industry
3,300170.SZ,in_industry
3,300177.SZ,in_industry
3,300182.SZ,in_industry
3,300183.SZ,in_industry
3,300188.SZ,in_industry
3,300209.SZ,in_industry
3,300211.SZ,in_industry
3,300212.SZ,in_industry
3,300213.SZ,in_industry
3,300226.SZ,in_industry
3,300229.SZ,in_industry
3,300231.SZ,in_industry
3,300235.SZ,in_industry
3,300245.SZ,in_industry
3,300248.SZ,in_industry
3,300250.SZ,in_industry
3,300253.SZ,in_industry
3,300264.SZ,in_industry
3,300270.SZ,in_industry
3,300271.SZ,in_industry
3,300275.SZ,in_industry
3,300277.SZ,in_industry
3,300282.SZ,in_industry
3,300287.SZ,in_industry
3,300288.SZ,in_industry
3,300290.SZ,in_industry
3,300292.SZ,in_industry
3,300295.SZ,in_industry
3,300297.SZ,in_industry
3,300299.SZ,in_industry
3,300300.SZ,in_industry
3,300302.SZ,in_industry
3,300310.SZ,in_industry
3,300311.SZ,in_industry
3,300312.SZ,in_industry
3,300315.SZ,in_industry
3,300322.SZ,in_industry
3,300324.SZ,in_industry
3,300330.SZ,in_industry
3,300333.SZ,in_industry
3,300339.SZ,in_industry
3,300348.SZ,in_industry
3,300352.SZ,in_industry
3,300353.SZ,in_industry
3,300359.SZ,in_industry
3,300365.SZ,in_industry
3,300366.SZ,in_industry
3,300367.SZ,in_industry
3,300369.SZ,in_industry
3,300377.SZ,in_industry
3,300378.SZ,in_industry
3,300379.SZ,in_industry
3,300380.SZ,in_industry
3,300383.SZ,in_industry
3,300386.SZ,in_industry
3,300390.SZ,in_industry
3,300392.SZ,in_industry
3,300394.SZ,in_industry
3,300397.SZ,in_industry
3,300399.SZ,in_industry
3,300418.SZ,in_industry
3,300419.SZ,in_industry
3,300431.SZ,in_industry
3,300440.SZ,in_industry
3,300448.SZ,in_industry
3,300449.SZ,in_industry
4,600111.SH,in_industry
4,600139.SH,in_industry
4,600205.SH,in_industry
4,600219.SH,in_industry
4,600255.SH,in_industry
4,600259.SH,in_industry
4,600296.SH,in_industry
4,600311.SH,in_industry
4,600331.SH,in_industry
4,600338.SH,in_industry
4,600362.SH,in_industry
4,600390.SH,in_industry
4,600432.SH,in_industry
4,600456.SH,in_industry
4,600459.SH,in_industry
4,600489.SH,in_industry
4,600497.SH,in_industry
4,600531.SH,in_industry
4,600547.SH,in_industry
4,600549.SH,in_industry
4,600595.SH,in_industry
4,600673.SH,in_industry
4,600711.SH,in_industry
4,600714.SH,in_industry
4,600768.SH,in_industry
4,600888.SH,in_industry
4,600961.SH,in_industry
4,601137.SH,in_industry
4,601168.SH,in_industry
4,601600.SH,in_industry
4,601677.SH,in_industry
4,601899.SH,in_industry
4,601958.SH,in_industry
4,000060.SZ,in_industry
4,000426.SZ,in_industry
4,000587.SZ,in_industry
4,000602.SZ,in_industry
4,000603.SZ,in_industry
4,000612.SZ,in_industry
4,000630.SZ,in_industry
4,000657.SZ,in_industry
4,000697.SZ,in_industry
4,000751.SZ,in_industry
4,000758.SZ,in_industry
4,000762.SZ,in_industry
4,000807.SZ,in_industry
4,000831.SZ,in_industry
4,000878.SZ,in_industry
4,000960.SZ,in_industry
4,000962.SZ,in_industry
4,002082.SZ,in_industry
4,002114.SZ,in_industry
4,002149.SZ,in_industry
4,002155.SZ,in_industry
4,002160.SZ,in_industry
4,002167.SZ,in_industry
4,002171.SZ,in_industry
4,002182.SZ,in_industry
4,002203.SZ,in_industry
4,002237.SZ,in_industry
4,002295.SZ,in_industry
4,002333.SZ,in_industry
4,002340.SZ,in_industry
4,002378.SZ,in_industry
4,002379.SZ,in_industry
4,002428.SZ,in_industry
4,002460.SZ,in_industry
4,002501.SZ,in_industry
4,002540.SZ,in_industry
4,002578.SZ,in_industry
4,002617.SZ,in_industry
4,300034.SZ,in_industry
5,600048.SH,in_industry
5,600052.SH,in_industry
5,600053.SH,in_industry
5,600067.SH,in_industry
5,600077.SH,in_industry
5,600082.SH,in_industry
5,600094.SH,in_industry
5,600095.SH,in_industry
5,600113.SH,in_industry
5,600133.SH,in_industry
5,600159.SH,in_industry
5,600162.SH,in_industry
5,600173.SH,in_industry
5,600175.SH,in_industry
5,600185.SH,in_industry
5,600208.SH,in_industry
5,600223.SH,in_industry
5,600225.SH,in_industry
5,600239.SH,in_industry
5,600240.SH,in_industry
5,600246.SH,in_industry
5,600266.SH,in_industry
5,600322.SH,in_industry
5,600325.SH,in_industry
5,600340.SH,in_industry
5,600376.SH,in_industry
5,600383.SH,in_industry
5,600393.SH,in_industry
5,600463.SH,in_industry
5,600503.SH,in_industry
5,600510.SH,in_industry
5,600533.SH,in_industry
5,600565.SH,in_industry
5,600568.SH,in_industry
5,600606.SH,in_industry
5,600615.SH,in_industry
5,600621.SH,in_industry
5,600638.SH,in_industry
5,600641.SH,in_industry
5,600657.SH,in_industry
5,600663.SH,in_industry
5,600665.SH,in_industry
5,600675.SH,in_industry
5,600683.SH,in_industry
5,600684.SH,in_industry
5,600696.SH,in_industry
5,600716.SH,in_industry
5,600724.SH,in_industry
5,600732.SH,in_industry
5,600733.SH,in_industry
5,600743.SH,in_industry
5,600745.SH,in_industry
5,600748.SH,in_industry
5,600767.SH,in_industry
5,600773.SH,in_industry
5,600791.SH,in_industry
5,600807.SH,in_industry
5,600823.SH,in_industry
5,600862.SH,in_industry
5,600890.SH,in_industry
5,601588.SH,in_industry
5,000002.SZ,in_industry
5,000005.SZ,in_industry
5,000006.SZ,in_industry
5,000009.SZ,in_industry
5,000011.SZ,in_industry
5,000014.SZ,in_industry
5,000024.SZ,in_industry
5,000029.SZ,in_industry
5,000031.SZ,in_industry
5,000036.SZ,in_industry
5,000038.SZ,in_industry
5,000040.SZ,in_industry
5,000042.SZ,in_industry
5,000046.SZ,in_industry
5,000056.SZ,in_industry
5,000402.SZ,in_industry
5,000502.SZ,in_industry
5,000505.SZ,in_industry
5,000506.SZ,in_industry
5,000514.SZ,in_industry
5,000517.SZ,in_industry
5,000526.SZ,in_industry
5,000534.SZ,in_industry
5,000537.SZ,in_industry
5,000540.SZ,in_industry
5,000558.SZ,in_industry
5,000567.SZ,in_industry
5,000573.SZ,in_industry
5,000608.SZ,in_industry
5,000609.SZ,in_industry
5,000616.SZ,in_industry
5,000620.SZ,in_industry
5,000631.SZ,in_industry
5,000656.SZ,in_industry
5,000667.SZ,in_industry
5,000668.SZ,in_industry
5,000671.SZ,in_industry
5,000691.SZ,in_industry
5,000718.SZ,in_industry
5,000732.SZ,in_industry
5,000736.SZ,in_industry
5,000797.SZ,in_industry
5,000809.SZ,in_industry
5,000838.SZ,in_industry
5,000861.SZ,in_industry
5,000863.SZ,in_industry
5,000897.SZ,in_industry
5,000918.SZ,in_industry
5,000926.SZ,in_industry
5,000931.SZ,in_industry
5,000965.SZ,in_industry
5,000979.SZ,in_industry
5,000981.SZ,in_industry
5,001914.SZ,in_industry
5,002016.SZ,in_industry
