companyId:ID(Company),name:string,fullname:string,:LABEL
002476.SZ,宝莫股份,山东宝莫生物化工股份有限公司,Company
002491.SZ,通鼎互联,通鼎互联信息股份有限公司,Company
002497.SZ,雅化集团,四川雅化实业集团股份有限公司,Company
002500.SZ,山西证券,山西证券股份有限公司,Company
002501.SZ,*ST利源,吉林利源精制股份有限公司,Company
002519.SZ,银河电子,江苏银河电子股份有限公司,Company
002528.SZ,英飞拓,深圳英飞拓科技股份有限公司,Company
002540.SZ,亚太科技,江苏亚太轻合金科技股份有限公司,Company
002544.SZ,杰赛科技,广州杰赛科技股份有限公司,Company
002547.SZ,春兴精工,苏州春兴精工股份有限公司,Company
002558.SZ,巨人网络,巨人网络集团股份有限公司,Company
002562.SZ,兄弟科技,兄弟科技股份有限公司,Company
002577.SZ,雷柏科技,深圳雷柏科技股份有限公司,Company
002578.SZ,闽发铝业,福建省闽发铝业股份有限公司,Company
002581.SZ,未名医药,山东未名生物医药股份有限公司,Company
002583.SZ,海能达,海能达通信股份有限公司,Company
002584.SZ,西陇科学,西陇科学股份有限公司,Company
002597.SZ,金禾实业,安徽金禾实业股份有限公司,Company
002601.SZ,龙蟒佰利,龙蟒佰利联集团股份有限公司,Company
002609.SZ,捷顺科技,深圳市捷顺科技实业股份有限公司,Company
002617.SZ,露笑科技,露笑科技股份有限公司,Company
002632.SZ,道明光学,道明光学股份有限公司,Company
002635.SZ,安洁科技,苏州安洁科技股份有限公司,Company
002637.SZ,赞宇科技,赞宇科技集团股份有限公司,Company
002642.SZ,荣联科技,荣联科技集团股份有限公司,Company
002643.SZ,万润股份,中节能万润股份有限公司,Company
002648.SZ,卫星石化,浙江卫星石化股份有限公司,Company
002649.SZ,博彦科技,博彦科技股份有限公司,Company
002657.SZ,中科金财,北京中科金财科技股份有限公司,Company
002666.SZ,德联集团,广东德联集团股份有限公司,Company
002669.SZ,康达新材,上海康达化工新材料集团股份有限公司,Company
002673.SZ,西部证券,西部证券股份有限公司,Company
002683.SZ,宏大爆破,广东宏大爆破股份有限公司,Company
002707.SZ,众信旅游,众信旅游集团股份有限公司,Company
002709.SZ,天赐材料,广州天赐高新材料股份有限公司,Company
002736.SZ,国信证券,国信证券股份有限公司,Company
