name,holderId:ID(Holder),:LABEL
EPOXY BASE INVESTMENT HOLDING LTD.,325,Holder
吴彩银,326,Holder
肖声扬,327,Holder
陈良,328,Holder
黄晓霞,329,Holder
刘占刚,330,Holder
李凤燕,331,Holder
徐大庆,332,Holder
日月控股,333,Holder
金译平,334,Holder
临海万盛投资,335,Holder
高献国,336,Holder
上海浦东发展银行,337,Holder
高峰,338,Holder
周三昌,339,Holder
郑国富,340,Holder
勇新,341,Holder
高远夏,342,Holder
吴冬娥,343,Holder
罗瑞林,344,Holder
四川和邦投资,345,Holder
四川盐业总,346,Holder
贺正刚,347,Holder
四川和邦生物科技回购专用证券账户,348,Holder
西部利得基金,349,Holder
李思强,350,Holder
卢建平,351,Holder
亚邦投资控股,352,Holder
许旭东,353,Holder
河南羚锐制药,354,Holder
广东德汇投资管理,355,Holder
江苏亚邦染料回购专用证券账户,356,Holder
杭柯达,357,Holder
帅咏梅,358,Holder
杨建泽,359,Holder
刘江东,360,Holder
四川金海马实业,361,Holder
深圳特发,362,Holder
德阳国有资产经营,363,Holder
赵相革,364,Holder
汉龙实业发展,365,Holder
华创证券,366,Holder
刘莹,367,Holder
上海通怡投资管理,368,Holder
广州轻工工贸,369,Holder
广州国资发展控股,370,Holder
程裕民,371,Holder
李秀萍,372,Holder
黄长富,373,Holder
苑临轩,374,Holder
钟斌,375,Holder
胡世新,376,Holder
吕华盛,377,Holder
金浦投资控股,378,Holder
陈红妹,379,Holder
孙向昕,380,Holder
柳冰,381,Holder
张秀,382,Holder
肖国文,383,Holder
吉林恒金药业,384,Holder
广州无线电,385,Holder
欧玉君,386,Holder
重庆生命科技与新材料产业,387,Holder
汪新文,388,Holder
林尚德,389,Holder
赵璨,390,Holder
凌朝明,391,Holder
胡志平,392,Holder
金坚成,393,Holder
肖国,394,Holder
任汉英,395,Holder
刘益谦,396,Holder
新理益,397,Holder
王薇,398,Holder
民生加银基金,399,Holder
王扬超,400,Holder
中信建投证券,401,Holder
徐鹤林,402,Holder
渤海国际信托,403,Holder
招商证券,404,Holder
刘咏思,405,Holder
国电英力特能源化工,406,Holder
朴永松,407,Holder
梁浩权,408,Holder
谢红秀,409,Holder
国泰基金,410,Holder
蔡学慧,411,Holder
吕红桃,412,Holder
刘满林,413,Holder
聂宗道,414,Holder
锦州恒越投资,415,Holder
西藏朝阳投资,416,Holder
安徽京马投资,417,Holder
张宇,418,Holder
江阴浩然明达投资中心,419,Holder
北京浩泽嘉业投资,420,Holder
广西索芙特科技,421,Holder
上海谷欣投资,422,Holder
周朝阳,423,Holder
北京中稷弘立资产管理,424,Holder
内蒙古博源控股,425,Holder
内蒙古远兴能源回购专用证券账户,426,Holder
广发证券,427,Holder
中国农业银行,428,Holder
王勇,429,Holder
中国化工,430,Holder
沈阳化工,431,Holder
易方达资产,432,Holder
佳兆业捷信物流,433,Holder
"JPMORGAN CHASE BANK,NATIONAL ASSOCIATION",434,Holder
上海国际信托,435,Holder
戢中秋,436,Holder
陈于文,437,Holder
李虹,438,Holder
吴爱民,439,Holder
张寿清,440,Holder
赵章财,441,Holder
王建军,442,Holder
黄腾宇,443,Holder
伍文彬,444,Holder
湖北双环化工,445,Holder
刘庆福,446,Holder
山西焦煤运城盐化,447,Holder
西安高科建材科技,448,Holder
谭永开,449,Holder
山西焦煤金融资本投资控股,450,Holder
余川闽,451,Holder
李莲子,452,Holder
刘垚,453,Holder
郑建刚,454,Holder
方杰,455,Holder
李颖,456,Holder
珠海中投知本汇资产管理,457,Holder
霍建平,458,Holder
宋常青,459,Holder
张永刚,460,Holder
山西旅游投资控股,461,Holder
山西国新能源发展,462,Holder
山西经济建设投资,463,Holder
山西路桥建设,464,Holder
王世忱,465,Holder
赵海雁,466,Holder
王玉荣,467,Holder
张新容,468,Holder
全国社保基金六零四组合,469,Holder
张利群,470,Holder
杭州万珹投资合伙企业,471,Holder
彭朝晖,472,Holder
新余昊月信息技术,473,Holder
平安资管,474,Holder
汇丰人寿保险,475,Holder
孙莹,476,Holder
平安健康保险,477,Holder
UBS   AG,478,Holder
山东海化,479,Holder
基本养老保险基金三零三组合,480,Holder
安徽中鼎控股,481,Holder
鹏华资产,482,Holder
安徽铁路发展基金,483,Holder
杨竣凯,484,Holder
缪甦,485,Holder
深圳平安大华汇通财富,486,Holder
赵熙逸,487,Holder
王恩锦,488,Holder
林奇,489,Holder
孙定保,490,Holder
向美珍,491,Holder
林梦清,492,Holder
王琼艳,493,Holder
大庆高新国有资产运营,494,Holder
中国石油林源炼油,495,Holder
中国石油大庆石油化工,496,Holder
诚志回购专用证券账户,497,Holder
芜湖华融渝创投资中心,498,Holder
珠海融文股权投资合伙企业,499,Holder
宁波东方嘉元投资合伙企业,500,Holder
北京华清创业科技,501,Holder
肖燕丽,502,Holder
深圳万容控股,503,Holder
北京金信卓华投资中心,504,Holder
传化,505,Holder
华安未来资产,506,Holder
徐冠巨,507,Holder
上海国泰君安君彤投资管理,508,Holder
长安财富,509,Holder
上海陆家嘴股权投资基金合伙企业,510,Holder
徐观宝,511,Holder
杭州金投资本管理,512,Holder
长城嘉信资产,513,Holder
黄山永新,514,Holder
