:END_ID(Company),annDate:date,holderFullname:string,holdRatio:double,:START_ID(Company),:TYPE
600536.SH,2020-10-31,中国工商银行股份有限公司-广发双擎升级混合型证券投资基金,1.31,601398.SH,hold_stock
600536.SH,2020-10-31,中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金,1.03,601398.SH,hold_stock
600562.SH,2020-10-30,兴业证券股份有限公司,0.45,601377.SH,hold_stock
600562.SH,2020-10-30,中国工商银行股份有限公司-富国军工主题混合型证券投资基金,0.56,601398.SH,hold_stock
600654.SH,2020-10-31,国金证券-浦发银行-国金中安消增持1号集合资产管理计划,0.46,600109.SH,hold_stock
600734.SH,2020-10-31,中兴通讯股份有限公司,1.52,000063.SZ,hold_stock
600776.SH,2020-10-31,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,0.2,601288.SH,hold_stock
600804.SH,2020-10-31,招商银行股份有限公司-兴全合润分级混合型证券投资基金,0.97,600036.SH,hold_stock
600845.SH,2020-10-28,中信证券-中信银行-中信证券红利价值一年持有混合型集合资产管理计划,0.5,600030.SH,hold_stock
600845.SH,2020-10-28,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),0.78,601398.SH,hold_stock
600990.SH,2020-10-29,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,0.91,601939.SH,hold_stock
600990.SH,2020-10-29,中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金,0.81,601939.SH,hold_stock
600990.SH,2020-10-29,中国建设银行股份有限公司-长信国防军工量化灵活配置混合型证券投资基金,0.8,601939.SH,hold_stock
603019.SH,2020-10-28,中国建设银行股份有限公司-华夏国证半导体芯片交易型开放式指数证券投资基金,2.93,601939.SH,hold_stock
603019.SH,2020-10-28,招商银行股份有限公司-银河创新成长混合型证券投资基金,2.58,600036.SH,hold_stock
603019.SH,2020-10-28,中国农业银行股份有限公司-银华内需精选混合型证券投资基金(LOF),0.64,601288.SH,hold_stock
603636.SH,2020-10-24,中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金,0.73,601939.SH,hold_stock
000063.SZ,2020-10-29,中国银行股份有限公司-华夏中证5G通信主题交易型开放式指数证券投资基金,0.99,601988.SH,hold_stock
000063.SZ,2020-10-29,新华人寿保险股份有限公司-新传统产品2,0.93,601336.SH,hold_stock
000066.SZ,2020-10-31,中国建设银行股份有限公司-富国中证军工龙头交易型开放式指数证券投资基金,0.54,601939.SH,hold_stock
000066.SZ,2020-10-31,中国建设银行股份有限公司-鹏华中证国防指数分级证券投资基金,0.91,601939.SH,hold_stock
000547.SZ,2020-10-26,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,1.05,601939.SH,hold_stock
