ts_code:ID(Company),name:string,area:string,industry:string,fullname:string,list_date:date,:LABEL
002352.SZ,顺丰控股,深圳,仓储物流,顺丰控股股份有限公司,2010-02-05,Company
002353.SZ,杰瑞股份,山东,化工机械,烟台杰瑞石油服务集团股份有限公司,2010-02-05,Company
002354.SZ,*ST天娱,辽宁,互联网,大连天神娱乐股份有限公司,2010-02-09,Company
002355.SZ,兴民智通,山东,汽车配件,兴民智通(集团)股份有限公司,2010-02-09,Company
002356.SZ,*ST赫美,深圳,其他商业,深圳赫美集团股份有限公司,2010-02-09,Company
002357.SZ,富临运业,四川,公路,四川富临运业集团股份有限公司,2010-02-10,Company
002358.SZ,森源电气,河南,电气设备,河南森源电气股份有限公司,2010-02-10,Company
002359.SZ,*ST北讯,深圳,通信设备,北讯集团股份有限公司,2010-02-10,Company
002360.SZ,同德化工,山西,化工原料,山西同德化工股份有限公司,2010-03-03,Company
002361.SZ,神剑股份,安徽,化工原料,安徽神剑新材料股份有限公司,2010-03-03,Company
002362.SZ,汉王科技,北京,IT设备,汉王科技股份有限公司,2010-03-03,Company
002363.SZ,隆基机械,山东,汽车配件,山东隆基机械股份有限公司,2010-03-05,Company
002364.SZ,中恒电气,浙江,电气设备,杭州中恒电气股份有限公司,2010-03-05,Company
002365.SZ,永安药业,湖北,化学制药,潜江永安药业股份有限公司,2010-03-05,Company
002366.SZ,台海核电,四川,专用机械,台海玛努尔核电设备股份有限公司,2010-03-12,Company
002367.SZ,康力电梯,江苏,运输设备,康力电梯股份有限公司,2010-03-12,Company
002368.SZ,太极股份,北京,软件服务,太极计算机股份有限公司,2010-03-12,Company
002369.SZ,卓翼科技,深圳,通信设备,深圳市卓翼科技股份有限公司,2010-03-16,Company
002370.SZ,亚太药业,浙江,化学制药,浙江亚太药业股份有限公司,2010-03-16,Company
002371.SZ,北方华创,北京,专用机械,北方华创科技集团股份有限公司,2010-03-16,Company
002372.SZ,伟星新材,浙江,其他建材,浙江伟星新型建材股份有限公司,2010-03-18,Company
002373.SZ,千方科技,北京,软件服务,北京千方科技股份有限公司,2010-03-18,Company
002374.SZ,丽鹏股份,山东,建筑工程,山东丽鹏股份有限公司,2010-03-18,Company
002375.SZ,亚厦股份,浙江,装修装饰,浙江亚厦装饰股份有限公司,2010-03-23,Company
002376.SZ,新北洋,山东,IT设备,山东新北洋信息技术股份有限公司,2010-03-23,Company
002377.SZ,国创高新,湖北,房产服务,湖北国创高新材料股份有限公司,2010-03-23,Company
002378.SZ,章源钨业,江西,小金属,崇义章源钨业股份有限公司,2010-03-31,Company
002379.SZ,宏创控股,山东,铝,山东宏创铝业控股股份有限公司,2010-03-31,Company
002380.SZ,科远智慧,江苏,电气设备,南京科远智慧科技集团股份有限公司,2010-03-31,Company
002381.SZ,双箭股份,浙江,橡胶,浙江双箭橡胶股份有限公司,2010-04-02,Company
002382.SZ,蓝帆医疗,山东,医疗保健,蓝帆医疗股份有限公司,2010-04-02,Company
002383.SZ,合众思壮,北京,通信设备,北京合众思壮科技股份有限公司,2010-04-02,Company
002384.SZ,东山精密,江苏,元器件,苏州东山精密制造股份有限公司,2010-04-09,Company
002385.SZ,大北农,北京,饲料,北京大北农科技集团股份有限公司,2010-04-09,Company
002386.SZ,天原集团,四川,化工原料,宜宾天原集团股份有限公司,2010-04-09,Company
002387.SZ,维信诺,广东,元器件,维信诺科技股份有限公司,2010-04-13,Company
002388.SZ,新亚制程,深圳,元器件,深圳市新亚电子制程股份有限公司,2010-04-13,Company
002389.SZ,航天彩虹,浙江,元器件,航天彩虹无人机股份有限公司,2010-04-13,Company
